Country,Indicator,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Namibia,Expenditures(USMillion),..,..,..,..,..,145,250,244,383,426,362,474,541,485,507,471,516,416,357,552,540,295,449,488,451,155,143
Nepal,Expenditures(USMillion),232,237,201,248,229,219,191,134,232,260,160,157,234,353,439,378,415,379,460,511,509,498,712,740,801,238,176
Netherlands,Expenditures(USMillion),"10,611","11,497","11,750","11,923","12,451","11,285","11,147","11,745","14,603","16,495",..,..,..,..,..,..,..,"17,675","19,429","19,669","17,558","19,422","21,630","23,899","22,116","10,720","10,535"
New Zealand,Expenditures(USMillion),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nicaragua,Expenditures(USMillion),51,55,82,103,128,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Niger,Expenditures(USMillion),..,26,29,27,25,23,30,20,28,32,44,39,44,86,69,106,54,51,59,100,80,84,91,114,130,97,..
Nigeria,Expenditures(USMillion),47,58,83,81,99,186,168,256,58,49,139,209,337,958,791,736,688,638,616,605,461,"1,088","2,615","1,977","1,471",321,265
North Macedonia,Expenditures(USMillion),..,35,29,30,80,88,49,55,86,103,116,156,219,262,232,199,242,237,270,298,268,283,331,387,401,253,387
Norway,Expenditures(USMillion),"2,730","2,770","2,570","2,545","2,750","2,521","2,380","2,581","2,989","3,531","4,243","4,289","5,322","5,702","4,949","5,299","6,565","6,784","7,175","7,503","6,370","6,285","6,565","7,280","7,390","2,234","2,310"
Oman,Expenditures(USMillion),..,..,..,338,350,377,538,539,546,601,627,749,905,"1,105","1,092","1,072","1,515","1,723","1,888","1,971","2,247","2,324","2,717","2,975","3,193",722,511
Pakistan,Expenditures(USMillion),582,590,618,556,492,551,533,562,620,765,828,919,912,986,950,998,"1,127","1,014",938,971,915,790,865,845,992,765,884
Palau,Expenditures(USMillion),..,..,..,..,..,..,..,..,..,..,63,60,68,78,76,76,94,109,117,131,156,..,..,..,..,..,..
Panama,Expenditures(USMillion),372,432,471,492,506,628,665,710,804,903,"1,108","1,425","1,806","2,208","2,280","2,621","3,630","4,585","5,419","5,749","5,754","6,283","6,827","7,139","7,051","1,853","3,607"
Papua New Guinea,Expenditures(USMillion),..,..,..,..,..,..,..,..,4.9,7.1,9.4,3.9,4.5,3.7,..,2.4,5.1,..,3.7,2.8,..,1.6,15.3,4.2,..,..,..
Paraguay,Expenditures(USMillion),162,159,145,128,95,88,91,76,81,87,96,112,121,128,225,243,261,291,299,314,348,356,399,393,409,98,66
Peru,Expenditures(USMillion),521,773,911,947,911,861,763,836,"1,023","1,232","1,438","1,775","2,007","2,396","2,440","2,475","2,814","3,074","3,916","3,907","4,140","4,288","4,439","4,505","4,703","1,002","1,043"
Philippines,Expenditures(USMillion),"1,141","1,551","2,347","1,431","2,652","2,334","2,011","2,018","1,821","2,390","2,863","4,051","5,523","3,293","2,916","3,441","4,053","4,963","5,599","6,059","6,414","6,289","8,349","9,715","11,455","2,499",984
Poland,Expenditures(USMillion),"6,927","8,764","9,053","8,321","6,498","6,128","5,121","4,971","4,733","6,521","7,161","8,153","11,729","12,897","9,888","9,875","11,471","11,704","12,242","12,691","11,164","11,922","14,080","15,699","16,011","8,843","10,136"
Portugal,Expenditures(USMillion),"5,646","5,572","5,415","6,390","6,047","6,029","6,264","6,643","7,687","8,902","9,038","10,487","12,945","14,081","12,357","12,984","14,911","14,578","16,080","17,577","16,007","17,347","21,586","24,365","24,592","10,533","13,823"
Puerto Rico,Expenditures(USMillion),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"3,904","3,340","3,637","2,939","2,803"
Qatar,Expenditures(USMillion),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"4,463","7,220","8,452","10,576","12,131","12,593","15,757","15,239","15,647","14,318","14,830"
Romania,Expenditures(USMillion),689,670,603,351,306,394,419,400,523,607,"1,324","1,675","2,073","2,626","1,688","1,631","2,016","1,904","2,307","2,388","2,229","2,474","3,553","3,879","4,240","1,619","3,525"
Russian Federation,Expenditures(USMillion),..,..,..,..,..,..,"4,726","5,278","5,879","7,262","7,805","9,720","12,426","15,821","12,369","13,239","16,961","17,876","20,198","19,451","13,186","12,822","14,938","18,735","17,288","6,029","6,314"
Rwanda,Expenditures(USMillion),4,6,19,20,21,27,29,..,..,..,67,148,177,224,223,224,298,337,364,376,427,443,496,547,636,212,284
Samoa,Expenditures(USMillion),36,40,39,40,43,..,..,..,..,70,74,88,102,112,115,124,135,148,137,148,142,149,167,192,206,23,0.2
San Marino,Expenditures(USMillion),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
São Tomé and Príncipe,Expenditures(USMillion),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Saudi Arabia,Expenditures(USMillion),..,..,..,..,..,..,..,..,"3,418",..,..,..,"6,907","6,775","6,744","7,536","9,317","8,400","8,690","9,263","11,183","13,438","15,020","16,974","19,849","4,646","4,639"
Senegal,Expenditures(USMillion),168,164,171,181,183,152,175,210,269,286,334,329,622,640,475,464,525,469,495,482,417,439,470,557,..,..,..
Serbia,Expenditures(USMillion),..,..,..,..,..,..,..,77,159,220,308,416,"1,018","1,114",986,950,"1,149","1,080","1,221","1,352","1,322","1,461","1,706","1,941","2,000","1,430","2,172"
Seychelles,Expenditures(USMillion),224,182,195,191,202,225,221,247,258,256,269,323,396,408,349,352,380,429,484,481,483,751,843,852,884,334,594
Sierra Leone,Expenditures(USMillion),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
