Country,Indicator,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Panama,Total(thousands),417,443,504,529,555,600,737,800,897,"1,004","1,070","1,215","1,428","1,575","1,562","1,726","2,004","2,086","2,202","2,305","2,553","2,379","2,517","2,487","2,494",647,804
Panama,Overnight(thousands),345,362,421,431,457,484,519,534,566,621,702,843,"1,103","1,247","1,200","1,324","1,473","1,606","1,658","1,745","2,110","1,921","1,843","1,785","1,753",414,618
Panama,OneDay(thousands),72,80,83,98,98,116,218,267,331,383,368,372,325,328,362,402,531,480,544,560,443,458,674,702,741,233,186
Panama,Cruise(thousands),13,14,18,30,78,94,196,246,308,356,334,335,283,234,311,331,429,334,374,366,238,218,383,369,365,137,29
Papua New Guinea,Total(thousands),,,,,,,,,,,,,,120,126,146,165,175,182,191,199,198,182,195,211,39,17
Papua New Guinea,Overnight(thousands),42,61,66,67,67,58,54,54,56,59,69,78,104,114,121,140,158,168,174,182,183,179,139,140,160,39,17
Papua New Guinea,OneDay(thousands),,,,,,,,,,,,,,6,5,6,7,7,8,9,16,19,43,55,51,,
Papua New Guinea,Cruise(thousands),,,,,,,,,,,,,,6,5,6,7,7,8,9,16,19,43,55,51,,
Paraguay,Total(thousands),"15,678","12,868","10,955","9,818","6,569","3,924","3,550","3,194","2,859","2,589","2,648","2,830","3,005","3,118","3,183","3,171","3,365","3,655","3,538","3,455","4,102","4,318","4,744","4,183","4,368","1,077",571
Paraguay,Overnight(thousands),438,426,395,350,269,289,279,250,268,309,341,388,416,428,439,465,524,579,610,649,"1,215","1,308","1,584","1,181","1,216",252,95
Paraguay,OneDay(thousands),"15,240","12,442","10,560","9,468","6,300","3,635","3,271","2,944","2,591","2,280","2,307","2,442","2,589","2,690","2,744","2,706","2,841","3,076","2,928","2,806","2,887","3,010","3,160","3,002","3,152",825,476
Peru,Total(thousands),,,,,,,,,,"1,650","1,938","2,227","2,451","2,581","2,681","2,948","3,299","3,642","4,010","4,062","4,381","4,718","4,992","5,384","5,275","1,119",444
Peru,Overnight(thousands),479,584,649,726,694,800,901,"1,064","1,136","1,350","1,571","1,721","1,916","2,058","2,140","2,299","2,598","2,846","3,164","3,215","3,456","3,744","4,032","4,419","4,372",897,444
Peru,OneDay(thousands),,,,3,3,4,4,4,4,300,367,506,535,523,541,649,701,796,847,847,925,974,960,965,903,222,
Peru,Cruise(thousands),,,,3,3,4,4,4,4,7,8,60,60,75,71,79,41,80,63,61,62,59,36,16,4,2,
Philippines,Overnight(thousands),"1,760","2,049","2,223","2,149","2,171","1,992","1,797","1,933","1,907","2,291","2,623","2,843","3,092","3,139","3,017","3,520","3,917","4,273","4,681","4,833","5,361","5,967","6,621","7,168","8,261","1,483",164
Philippines,OneDay(thousands),4,10,18,30,18,7,4,5,5,8,2,4,17,21,21,25,8,11,16,60,70,72,114,228,162,25,
Philippines,Cruise(thousands),4,10,18,30,18,7,4,5,5,8,2,4,17,21,21,25,8,11,16,60,70,72,114,228,162,25,
Poland,Total(thousands),"82,244","87,439","87,817","88,592","89,118","84,515","61,431","50,735","52,130","61,918","64,606","65,115","66,208","59,935","53,840","58,340","60,745","67,390","72,310","73,750","77,743","80,476","83,804","85,946","88,515","51,076","51,026"
Poland,Overnight(thousands),"19,215","19,410","19,520","18,780","17,950","17,400","15,000","13,980","13,720","14,290","15,200","15,670","14,975","12,960","11,890","12,470","13,350","14,840","15,800","16,000","16,728","17,471","18,258","19,622","21,158","8,418","9,722"
Poland,OneDay(thousands),"63,029","68,029","68,297","69,812","71,168","67,115","46,431","36,755","38,410","47,628","49,406","49,445","51,233","46,975","41,950","45,870","47,395","52,550","56,510","57,750","61,015","63,005","65,546","66,324","67,357","42,658","41,304"
Portugal,Total(thousands),"23,066","23,252","24,244","26,560","27,016","28,014","28,150","27,194","27,532","21,165","21,173","22,588",,,,,,,,,,,,,,,
Portugal,Overnight(thousands),"9,511","9,730","10,172","11,295","11,632","12,097","12,167","11,644","11,707","10,639","10,612","11,282","6,788","6,962","6,439","6,756","7,264","7,503","9,177","10,497","11,723","13,359","15,432","16,186","17,283","4,208","6,345"
Portugal,OneDay(thousands),"13,340","13,301","13,842","15,030","15,120","15,691","15,814","15,389","15,535","10,526","10,561","11,306",,,,,,,,,,,,,,,
Portugal,Cruise(thousands),215,221,230,235,264,226,169,161,290,,,,,,,,,,,,,,,,,,
Puerto Rico,Total(thousands),"4,087","4,110","4,350","4,671","4,221","4,566","4,908","4,364","4,402","4,889","5,073","5,022","5,062","5,213","4,415","4,379","4,214","4,197","4,210","4,456","5,051","5,003","4,927","4,260","4,931","3,882","2,755"
Puerto Rico,Overnight(thousands),"3,131","3,065","3,242","3,396","3,024","3,341","3,551","3,087","3,238","3,541","3,686","3,722","3,687","3,716","3,183","3,186","3,048","3,069","3,172","3,246","3,542","3,736","3,513","3,068","3,180","2,617","2,755"
Puerto Rico,OneDay(thousands),956,"1,045","1,108","1,275","1,198","1,225","1,357","1,277","1,164","1,348","1,387","1,300","1,375","1,497","1,232","1,194","1,166","1,128","1,038","1,210","1,509","1,267","1,414","1,192","1,751","1,265",0
Puerto Rico,Cruise(thousands),956,"1,045","1,106","1,266","1,196","1,221","1,357","1,276","1,164","1,348","1,387","1,300","1,375","1,497","1,232","1,194","1,166","1,128","1,038","1,210","1,509","1,267","1,414","1,192","1,751","1,265",0
Qatar,Total(thousands),,,,,,,,,,,,,,,"1,482","1,700","2,057","2,324","2,612","2,839","2,941","2,938","2,256","1,819","2,137",582,611
Qatar,Overnight(thousands),309,327,333,320,357,378,376,587,557,732,913,946,964,"1,405",,,,,,,,,,,,,
Romania,Total(thousands),"5,445","5,205","5,149","4,831","5,224","5,264","4,938","4,794","5,595","6,600","5,839","6,037","7,722","8,862","7,575","7,498","7,611","7,937","8,019","8,442","9,331","10,223","10,926","11,720","12,815","5,023","6,789"
Romania,Overnight(thousands),"2,757","3,028","2,957","2,966","3,209","3,274",,,,,,,,,,,,,,,,,,,,,
Romania,OneDay(thousands),"2,672","2,177","2,192","1,865","2,015","1,990",,,,,,,,,,,,,,,,,,,,,
Russian Federation,Total(thousands),"10,290","16,208","17,463","16,188","18,820","21,169","21,595","23,309","22,521","22,064","22,201","22,486","22,909","23,676","21,339","22,281","24,932","28,177","30,792","32,421","33,729","24,571","24,390","24,551","24,419","6,359",
Russian Federation,Overnight(thousands),,,,,,,"19,457","21,279","20,443","19,892","19,940",,,,,,,,,,,,,,,,
Russian Federation,OneDay(thousands),,,,,,,664,677,698,827,831,573,"1,149","1,252","1,247","1,196","1,269","1,351","1,486",,"1,670",,,,,,
Russian Federation,Cruise(thousands),,,,,,,175,153,213,280,333,573,"1,149","1,252","1,247","1,196","1,269","1,351","1,486",,"1,670",,,,,,
Rwanda,Total(thousands),,,,,,,,,,,,531,610,669,664,667,908,"1,061","1,122","1,220","1,298","1,377","1,570","1,711","1,634",497,511
Rwanda,Overnight(thousands),,,,,,104,113,,,,,494,567,607,603,605,835,987,"1,046","1,140","1,217","1,292","1,482","1,619","1,544",460,480
Rwanda,OneDay(thousands),,,,,,,,,,,,37,43,62,61,62,73,74,76,80,81,85,88,92,90,27,30
Samoa,Total(thousands),,,,,,,,,,,,116,122,122,129,130,128,135,125,132,139,146,158,172,181,24,3
Samoa,Overnight(thousands),68,73,68,78,85,88,88,89,92,98,102,110,117,118,122,122,121,126,116,120,128,134,146,164,172,23,3
Samoa,OneDay(thousands),,,,,,,,,,,,6,5,4,7,8,7,9,9,11,11,12,11,8,9,1,
San Marino,Total(thousands),"3,368","3,345","3,308","3,264","3,148","3,071","3,036","3,102","2,882","2,812","2,107","2,136","2,164","2,112","2,056","1,976","2,038","1,869","1,905","2,004","1,888","2,000","1,937","1,874","1,904","1,015","1,354"
San Marino,Overnight(thousands),28,30,28,36,34,43,49,46,41,42,50,50,69,115,151,120,156,139,71,75,54,60,78,84,111,58,94
San Marino,OneDay(thousands),,,,,,,,,,,"2,057","2,086","2,095","1,997","1,905","1,856","1,882","1,730","1,834","1,929","1,834","1,940","1,859","1,790","1,793",957,"1,260"
San Marino,Cruise(thousands),,,,,,,,,,,,,,,,,4,4,3,1,1,1,1,,,,
São Tomé and Príncipe,Overnight(thousands),6.2,6.4,4.8,5.6,5.8,7.1,7.5,9.2,10,10.6,15.8,12.3,11.8,14.5,15.2,8,12.2,,,,25.6,28.9,28.9,33.4,34.9,10.7,15.1
Saudi Arabia,Total(thousands),"4,398",,,,,,,,,"11,083","10,417","10,962","13,479","17,717","13,319","13,025","15,776","19,847","19,934","23,010","21,834","20,887","18,607","17,570","20,292","4,882","3,869"
Saudi Arabia,Overnight(thousands),"3,325",,,,,"6,585","6,727","7,511","7,332","8,599","8,037","8,620","11,531","14,757","10,897","10,850","14,179","16,332","15,772","18,260","17,994","18,044","16,109","15,334","17,526","4,138","3,477"
Saudi Arabia,OneDay(thousands),,,,,,,,,,"2,484","2,380","2,342","1,948","2,960","2,422","2,175","1,597","3,515","4,162","4,750","3,840","2,843","2,498","2,236","2,767",744,392
Senegal,Total(thousands),,,,,,,,,502,677,779,876,879,877,815,906,977,967,"1,069",976,"1,014","1,219","1,376",,,,
Senegal,Overnight(thousands),280,282,314,352,369,389,396,427,495,667,769,866,875,867,810,900,968,962,"1,063",963,"1,007","1,210","1,365",,,,
Senegal,OneDay(thousands),6,6,6,13,9,11,13,7,7,10,9,10,4,10,5,6,9,5,6,13,8,9,11,,,,
Senegal,Cruise(thousands),6,6,6,13,9,11,13,7,7,10,9,10,4,10,5,6,9,5,6,13,8,9,11,,,,
Serbia,Overnight(thousands),,,,,,,,312,339,392,453,469,696,646,645,683,764,810,922,"1,029","1,132","1,281","1,497","1,711","1,847",446,871
Seychelles,Total(thousands),127,142,136,134,130,140,138,135,127,126,135,151,171,173,178,191,210,216,237,239,296,333,382,405,428,125,183
Seychelles,Overnight(thousands),121,131,130,128,125,130,130,132,122,121,129,141,161,159,158,175,194,208,230,233,276,303,350,362,384,115,183
Seychelles,OneDay(thousands),6,11,6,6,5,10,8,3,5,5,6,10,10,14,20,16,16,8,7,6,20,30,32,43,44,20,
Seychelles,Cruise(thousands),6,11,6,6,5,10,8,3,5,5,6,10,10,14,20,16,16,8,7,6,20,30,32,43,44,20,
Sierra Leone,Total(thousands),,,,,,,,,,,,,,,,,,75,95,53,31,60,59,66,71,26,44
Sierra Leone,Overnight(thousands),14,22,8,13,11,16,24,28,38,44,40,34,32,36,37,39,52,60,81,44,24,55,51,57,63,24,40
Sierra Leone,OneDay(thousands),,,,,,,,,,,,,,,,,,15,14,9,7,5,8,9,8,2,4
Sierra Leone,Cruise(thousands),,,,,,,,,,,,,,,,,,1,2,1,2,2,2,2,3,1,2
Singapore,Total(thousands),"7,137","7,292","7,198","6,242","6,958","7,691","7,522","7,567","6,127","8,329","8,943","9,751","10,285","10,116","9,683","11,642","13,171","14,496","15,568","15,095","15,232","16,403","17,425","18,508","19,116","2,742",330
Singapore,Overnight(thousands),"6,070","6,048","5,894","5,122","5,604","6,062","5,857","5,855","4,703","6,553","7,079","7,588","7,957","7,778","7,488","9,161","10,390","11,098","11,899","11,864","12,052","12,913","13,903","14,673","15,119","2,086",325
Singapore,OneDay(thousands),"1,067","1,244","1,304","1,120","1,354","1,629","1,665","1,712","1,424","1,776","1,864","2,163","2,328","2,338","2,194","2,481","2,781","3,398","3,669","3,231","3,180","3,490","3,521","3,835","3,997",657,5
Slovak Republic,Total(thousands),,,,,,,,,,,,,,,,,,,"12,583","11,556","14,936","17,376","15,406","15,299","16,086",,
Slovak Republic,Overnight(thousands),903,951,814,896,975,"1,053","1,219","1,399","1,387","1,401","1,515","1,612","1,685","1,767","1,298","1,327","1,460","1,528","4,291","3,998","4,869","5,734","5,546","5,453","5,630",,
Slovak Republic,OneDay(thousands),,,,,,,,,,,,,,,,,,,"8,292","7,558","10,067","11,642","9,860","9,846","10,456",,
Slovenia,Total(thousands),"63,674","71,876","76,568","65,587","60,009","63,580","61,878","60,031","59,388","63,013","60,230","58,274","61,293",,,,,,,,,,,,,,
Slovenia,Overnight(thousands),732,832,974,977,884,"1,090","1,219","1,302","1,373","1,499","1,555","1,617","1,751","1,958","1,824","2,049","2,236","2,377","2,502","2,675","3,022","3,397","3,991","4,425","4,702","1,216","1,832"
Solomon Islands,Overnight(thousands),12,10,14,16,,5,,,7,6,9,12,14,16,18,21,23,24,24,20,22,23,26,28,29,4,0.7
South Africa,Total(thousands),"4,684","5,186","5,170","5,898","6,026","6,001","5,908","6,550","6,640","6,815","7,518","8,509","9,208","9,729","9,532","11,303","12,097","13,069","14,318","14,530","13,952","15,121","14,975","15,004","14,797","3,887","2,664"
South Africa,Overnight(thousands),"4,488","4,915","4,976","5,732","5,890","5,872","5,787","6,430","6,505","6,678","7,369","8,396","9,091","9,592","7,012","8,074","8,339","9,188","9,537","9,549","8,904","10,044","10,285","10,472","10,228","2,802","2,256"
South Africa,OneDay(thousands),,,,,,,,,,,,,,,"2,520","3,229","3,758","3,881","4,781","4,980","5,048","5,077","4,690","4,532","4,569","1,084",408
Spain,Total(thousands),"52,460","55,077","62,415","68,068","72,040","74,580","75,564","79,313","82,326","85,981","92,563","96,152","98,907","97,670","91,899","93,744","99,187","98,128","103,231","107,144","109,834","115,561","121,717","124,456","126,170","36,410","51,631"
Spain,Overnight(thousands),"32,971","34,027","39,553","41,892","45,440","46,403","48,565","50,331","50,854","52,430","55,914","58,004","58,666","57,192","52,178","52,677","56,177","57,464","60,675","64,939","68,175","75,315","81,869","82,808","83,509","18,933","31,181"
Spain,OneDay(thousands),"19,489","21,050","22,862","26,176","26,599","28,177","26,998","28,983","31,472","33,551","36,649","38,148","40,241","40,478","39,722","41,067","43,010","40,664","42,555","42,206","41,659","40,246","39,849","41,647","42,661","17,477","20,450"
Spain,Cruise(thousands),,,,,,,,,,,,,,,,,,,,,,"3,047","2,924","3,085","3,564",,479
Sri Lanka,Total(thousands),414,315,384,409,465,445,397,457,583,681,669,689,592,526,538,766,976,"1,133","1,415","1,665","1,993","2,168","2,248","2,521","2,027",540,195
Sri Lanka,Overnight(thousands),403,302,366,381,436,400,337,393,501,566,549,560,494,438,448,654,856,"1,006","1,275","1,527","1,798","2,051","2,116","2,334","1,914",508,194
Sri Lanka,OneDay(thousands),11,13,18,28,28,45,60,64,82,115,120,129,98,88,90,112,120,127,140,138,195,117,131,187,113,32,0.6
Sudan,Overnight(thousands),29,38,30,36,39,38,50,52,52,61,246,328,436,440,420,495,536,575,591,684,741,800,813,836,,,
Suriname,Total(thousands),69,74,78,70,72,72,68,,100,,,154,167,151,151,206,221,240,250,253,229,257,279,,,,
Suriname,Overnight(thousands),43,53,61,55,57,57,54,60,82,138,161,154,167,151,151,205,220,240,249,252,228,256,278,,,,
Suriname,OneDay(thousands),26,21,17,15,15,15,14,,17,,,0.3,0.4,0.3,0.3,0.5,0.3,0.3,0.7,0.8,0.8,0.9,0.9,,,,
Suriname,Cruise(thousands),26,21,17,15,15,15,14,,17,,,,,,,,,,,,,,,,,,
Sweden,Total(thousands),,,,,,,"7,432","7,457","7,627",,,,,,,,"19,405","20,011","18,803","19,945",,,,,,,
Sweden,Overnight(thousands),"2,310","2,376","2,388","2,573","2,595","3,828","4,108","4,276","4,268","4,676","4,883","4,729","5,224","4,555","4,899","5,183","11,567","12,372","10,980","10,522","6,482","6,782","7,054","7,440","7,616","1,957","2,990"
Sweden,OneDay(thousands),,,,,,,,,,,,,,,,,"7,838","7,639","7,823","9,423",,,,,,,
Sweden,Cruise(thousands),,,,,,,,,,,,,,,,,223,335,443,467,,,,,,,
Switzerland,Overnight(thousands),"6,946","6,730","7,039","7,185","7,154","7,821","7,455","6,868","6,530",,"7,229","7,863","8,448","8,608","8,294","8,628","8,534","8,566","8,967","9,158","9,305","10,402","11,133","11,715","11,818","3,690","4,390"
Syrian Arab Republic,Total(thousands),"2,253","2,435","2,332","2,464","2,682","3,412","3,671","4,678","4,837","6,334","5,859","5,682","5,434","6,951","7,721","10,970","6,476",,,,,"1,043","1,291","1,802","2,424",479,661
Syrian Arab Republic,Overnight(thousands),815,830,891,"1,267","1,386","2,100","2,192","2,661","2,598","3,399","3,571","4,231","4,158","5,430","6,092","8,546","5,070",,,,,,,,,,
Syrian Arab Republic,OneDay(thousands),10,9,10,11,"1,296","1,312","1,479","2,017","2,239","2,935","2,288","1,451","1,276","1,521","1,629","2,424","1,406",,,,,,,,,,
Syrian Arab Republic,Cruise(thousands),10,9,10,11,12,9,,,,,,,,,,,,,,,,,,,,,
"Taiwan, China",Total(thousands),"2,332","2,358","2,372","2,299","2,411","2,624","2,831","2,978","2,248","2,950","3,378","3,520","3,716","3,845","4,395","5,567","6,087","7,311","8,016","9,910","10,440","10,690","10,740","11,067","11,864","1,378",140
Tajikistan,Total(thousands),,0.7,2.1,3.2,4.5,7.7,5.2,,,,,,,325,207,160,183,244,208,213,414,344,431,"1,035","1,257",351,296
Tajikistan,Overnight(thousands),,,,,1.6,3.8,3.5,,,,,,,,,,,,,,,,,,,,
Tajikistan,OneDay(thousands),,,,,2.9,3.9,1.7,,,,,,,,,,,,,,,,,,,,
Thailand,Total(thousands),,"7,434","7,530","8,204","9,151","10,096","10,751",,,,,,,,,,,,,,,,,,,,
Thailand,Overnight(thousands),"6,952","7,244","7,294","7,843","8,651","9,579","10,133","10,873","10,082","11,737","11,567","13,822","14,464","14,584","14,150","15,936","19,230","22,354","26,547","24,810","29,923","32,530","35,592","38,178","39,916","6,702",428
Thailand,OneDay(thousands),,189,236,361,500,517,618,,,,,,,,,,,,,,,,,,,,
Timor-Leste,Overnight(thousands),,,,,,,,,,,,14,22,36,44,40,51,58,79,60,62,66,74,75,81,18,6
Togo,Overnight(thousands),53,58,92,69,70,60,57,58,61,83,81,94,86,74,150,202,300,235,327,282,273,338,514,573,876,482,
Togo,OneDay(thousands),,,,,,,,,,,,,,,,,,,2,0.9,1,1,1,,,,
Tonga,Total(thousands),33,31,29,35,44,43,38,45,51,51,60,54,65,65,75,65,68,57,60,66,73,87,87,77,94,12,
Tonga,Overnight(thousands),29,27,26,27,31,35,32,37,40,41,42,39,46,50,46,47,46,47,48,50,54,59,63,54,67,9,0.2
Tonga,OneDay(thousands),4,4,3,8,13,8,6,8,11,10,18,15,19,15,29,18,22,10,12,15,19,28,24,23,27,3,
Tonga,Cruise(thousands),4,4,3,8,13,8,6,8,11,10,18,15,19,15,29,18,22,10,12,15,19,28,24,23,27,3,
Trinidad and Tobago,Total(thousands),282,317,360,377,421,503,468,451,474,501,529,534,531,482,534,490,491,504,467,455,519,492,465,501,480,141,
Trinidad and Tobago,Overnight(thousands),260,266,324,334,358,399,383,384,409,443,463,461,449,437,419,388,431,455,434,412,440,409,395,375,389,95,41
Trinidad and Tobago,OneDay(thousands),22,51,36,43,63,104,85,67,65,58,66,73,82,45,115,102,60,49,33,43,79,83,70,126,91,46,
Trinidad and Tobago,Cruise(thousands),22,51,36,43,63,104,85,67,65,58,66,73,82,45,115,102,60,49,33,43,79,83,70,126,91,46,
Tunisia,Total(thousands),"4,186","3,986","4,392","4,831","5,000","5,244","5,663","5,322","5,492","6,419","6,975","7,176","7,512","7,750","8,507","8,640","6,038",,,,,,,,,,
Tunisia,Overnight(thousands),"4,120","3,885","4,263","4,718","4,832","5,058","5,387","5,064","5,114","5,998","6,378","6,550","6,762","7,050","7,797","7,828","5,746","6,999","7,352","7,163","5,359","5,724","7,052","8,299","9,429","2,012","2,475"
Tunisia,OneDay(thousands),66,101,129,113,168,186,276,258,378,421,597,626,750,700,710,812,292,,,,,,,,,,
Tunisia,Cruise(thousands),66,101,129,113,168,186,276,258,378,421,597,626,750,700,710,812,292,,,,,,,,,,
Türkiye,Total(thousands),"7,727","8,614","9,689","9,753","7,487","10,428","11,619","13,256","14,030","17,517","21,125","19,820","27,215","31,138","31,760","32,997","36,769","37,715","39,861","41,627","41,114","30,907","37,970","46,113","51,747","15,971","30,039"
Türkiye,Overnight(thousands),"7,083","7,966","9,040","8,960","6,893","9,586","10,783","12,790","13,341","16,826","20,273","18,916","26,122","29,792","30,187","31,364","34,654","35,698","37,795","39,811","39,478","30,289","37,601","45,768","51,192","15,894","29,925"
Türkiye,OneDay(thousands),644,648,649,793,594,842,836,466,689,691,852,903,"1,093","1,346","1,573","1,633","2,115","2,017","2,066","1,816","1,636",618,369,345,555,77,114
Uganda,Overnight(thousands),160,174,175,195,189,193,205,254,305,512,468,539,642,844,807,946,"1,151","1,197","1,206","1,266","1,303","1,323","1,402","1,506","1,543",473,513
Ukraine,Total(thousands),"6,127","6,750","14,743","12,003","10,990","11,691","11,877","12,793","15,161","18,583","20,489","21,714","26,162","28,827","24,033","24,114","24,535","25,061","26,025","13,227","13,025","13,734","14,579","14,342","13,710","3,382","4,272"
Ukraine,Overnight(thousands),"3,716","3,854","7,558","6,208","4,232","6,431","9,174","10,517","12,514","15,629","17,631","18,936","23,122","25,449","20,798","21,203","21,415","23,013","24,671","12,712","12,428","13,333","14,230","14,104","13,438","3,141","3,973"
Ukraine,OneDay(thousands),"2,411","2,896","7,185","5,795","6,758","5,260","2,703","2,276","2,647","2,954","2,858","2,778","3,040","3,378","3,235","2,911","3,120","2,048","1,354",516,597,401,349,238,273,241,299
Ukraine,Cruise(thousands),73,70,47,64,65,68,58,61,91,36,35,38,,,,,,,,,,,,,,,
United Arab Emirates,Total(thousands),,,,,,,,,,,,,,,,,,,,,"19,313","20,894","21,805","23,092","25,282","8,084","12,784"
United Arab Emirates,Overnight(thousands),"2,315","2,572","2,476","2,991","3,393","3,907","4,134","5,445","5,871","6,195","7,126",,,,,,,,,"16,232","16,842","18,143","19,168","20,214","21,561","7,165","11,479"
United Arab Emirates,OneDay(thousands),,,,,,,,,,,,,,,,,,,,,"2,471","2,751","2,637","2,878","3,721",919,"1,305"
United Arab Emirates,Cruise(thousands),,,,,,,,,,,,,,,,,,,,,58,54,50,50,48,40,26
United Kingdom,Total(thousands),"23,537","25,163","25,515","25,745","25,394","25,209","22,835","24,180","24,715","27,755","29,970","32,713","32,778","31,888","31,072","30,398","31,886","32,221","33,567","35,337","36,792","39,129","41,080","40,283","40,857","11,101","6,384"
United Kingdom,Overnight(thousands),"21,719","22,936","23,215","23,710","23,341","23,212","20,982","22,307","22,787","25,678","28,039","30,654","30,870","30,142","29,357","28,911","30,384","30,411","31,946","33,604","35,149","37,358","39,543","38,664","39,418","10,714","6,287"
United Kingdom,OneDay(thousands),"1,818","2,227","2,300","2,035","2,053","1,997","1,853","1,873","1,928","2,077","1,931","2,059","1,908","1,746","1,715","1,487","1,502","1,810","1,621","1,733","1,643","1,771","1,538","1,619","1,439",387,97
United States,Total(thousands),"79,732","82,756","82,525","74,767","75,796","78,343","70,975","64,434","62,082","67,606","71,484","183,178","175,299","175,703","160,508","162,275","147,271","171,630","179,310","178,311","176,865","175,261","174,292","169,325","165,478","44,792","66,594"
United States,Overnight(thousands),"43,318","46,489","47,767","46,377","48,689","51,238","46,927","43,581","41,218","46,086","49,206","50,977","56,135","58,007","55,103","60,010","63,477","66,967","71,643","75,379","77,774","76,407","77,187","79,746","79,442","19,212","22,100"
United States,OneDay(thousands),"36,414","36,267","34,758","28,390","27,107","27,105","24,048","20,853","20,864","21,520","22,278","132,201","119,164","117,696","105,405","102,265","83,794","104,663","107,667","102,932","99,091","98,854","97,105","89,579","86,036","25,580","44,493"
Uruguay,Total(thousands),"2,177","2,258","2,463","2,324","2,273","2,236","2,136","1,354","1,508","1,871","1,917","1,824","1,815","2,255","2,303","2,708","3,244","3,155","3,242","3,195","3,286","3,632","4,219","3,954","3,480",,234
Uruguay,Overnight(thousands),"2,022","2,152","2,316","2,163","2,073","1,968","1,892","1,258","1,420","1,756","1,808","1,749","1,753","1,938","2,055","2,353","2,857","2,695","2,683","2,682","2,773","3,037","3,674","3,469","3,059",,
Uruguay,OneDay(thousands),155,106,147,161,200,268,245,95,88,115,109,75,62,317,248,355,387,460,559,513,513,595,545,485,421,,
Uruguay,Cruise(thousands),,,,,,,64,,,,,,,257,206,300,284,319,428,385,321,305,278,242,260,,
Uzbekistan,Total(thousands),92,173,960,811,487,302,345,332,231,262,242,560,903,"1,069","1,215",975,"1,393","1,895","1,969","1,862","1,918","2,027","2,690","5,346","6,749","1,504","1,881"
Vanuatu,Total(thousands),82,103,81,78,96,106,106,99,102,99,126,154,167,197,226,238,249,321,357,329,287,352,333,350,256,82,
Vanuatu,Overnight(thousands),44,46,50,52,51,58,53,49,50,61,62,68,81,91,101,97,94,108,110,109,90,95,109,116,121,22,
Vanuatu,OneDay(thousands),38,57,31,26,45,48,53,50,52,38,64,86,86,106,125,141,155,213,247,220,197,256,224,235,135,60,
Vanuatu,Cruise(thousands),37,56,30,25,45,48,53,50,52,38,64,86,86,106,125,141,155,213,247,220,197,256,224,235,135,60,
"Venezuela, RB",Total(thousands),879,960,933,813,702,602,792,590,435,618,846,883,898,702,567,535,625,"1,061","1,085",967,882,681,429,,,,
"Venezuela, RB",Overnight(thousands),700,759,814,685,587,469,584,432,337,486,706,748,756,699,562,526,595,988,986,857,789,601,427,,,,
"Venezuela, RB",OneDay(thousands),179,201,119,128,115,133,208,158,98,132,140,135,142,3,5,9,30,73,99,110,93,80,2,,,,
"Venezuela, RB",Cruise(thousands),,,,,115,133,208,158,98,132,140,135,142,3,5,9,30,73,99,110,93,80,2,,,,
Vietnam,Total(thousands),"1,351","1,607","1,716","1,520","1,782","2,140","2,330","2,628","2,429","2,928","3,477","3,583","4,229","4,236","3,747","5,050","6,014","6,848","7,572","7,874","7,944","10,013","12,922","15,498","18,009","3,837",157
Vietnam,Overnight(thousands),,975,"1,114",978,"1,211","1,383","1,599",,,,,,,,,,,,"7,201","7,488","7,555",,,,,,
Vietnam,OneDay(thousands),,632,602,542,571,757,731,309,241,263,200,224,225,152,66,50,46,,371,386,389,,,,,,
Vietnam,Cruise(thousands),,162,131,157,188,256,285,309,241,263,200,224,225,152,66,50,46,286,193,48,170,285,259,215,264,114,
"Yemen, Rep.",Total(thousands),,,,,,,,,,,,,,,,"1,035","1,175","1,282","1,323","1,218",398,,,,,,
"Yemen, Rep.",Overnight(thousands),61,74,80,88,58,73,76,98,155,274,336,"1,061",948,"1,023","1,028","1,025",829,874,990,"1,018",367,,,,,,
"Yemen, Rep.",OneDay(thousands),,,,,,,,,,,,,,,,10,346,408,333,200,32,,,,,,
Zambia,Overnight(thousands),163,264,341,362,404,457,492,565,413,515,669,757,897,812,710,815,920,859,915,947,932,956,"1,009","1,072","1,266",502,554
Zimbabwe,Total(thousands),"1,416","1,597","1,336","2,090","2,250","1,967","2,217","2,041","2,256","1,854","1,559","2,287","2,506","1,956","2,017","2,239","2,423","1,794","1,833","1,880","2,057","2,168","2,423","2,580","2,294",639,381
Zimbabwe,Overnight(thousands),"1,363","1,577","1,281","1,986","2,101","1,868","2,068",,,,,,,,,,,,,,,,,,,,
Zimbabwe,OneDay(thousands),53,20,55,104,149,99,149,,,,,,,,,,,,,,,,,,,,
